date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:14	120/120	---MC-	200	added ('OK')	text/plain	date:Wed,%2029%20Mar%202023%2015:11:57%20GMT	https://swiftedutravels.com/robots.txt		(from )
16:12:16	134896/134896	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2015:11:57%20GMT	https://swiftedutravels.com/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/index.html	(from )
16:12:16	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2029%20Mar%202023%2015:12:01%20GMT	https://swiftedutravels.com/xmlrpc.php	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/xmlrpc.php	(from https://swiftedutravels.com/)
16:12:17	80574/80574	---M--	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2005:26:58%20GMT	https://swiftedutravels.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.6	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-includes/css/dist/block-library/style.min6281.css	(from https://swiftedutravels.com/)
16:12:19	20627/20627	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Oct%202022%2015:03:07%20GMT	https://swiftedutravels.com/wp-content/plugins/chaty/css/chaty-front.min.css?ver=1664896689	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/chaty/css/chaty-front.min37d2.css	(from https://swiftedutravels.com/)
16:12:21	743/743	---MC-	200	added ('OK')	application/rss+xml	etag:%22de90d87ae57b15b1d5c6a7b980fd25a4%22	https://swiftedutravels.com/comments/feed/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/comments/feed/index.html	(from https://swiftedutravels.com/)
16:12:21	9184/9184	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jun%202022%2015:17:28%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/ladda.min.css?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/ladda.min09fa.css	(from https://swiftedutravels.com/)
16:12:21	96090/96090	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Aug%202021%2006:40:25%20GMT	https://swiftedutravels.com/wp-content/plugins/edubin-core/assets/css/edubin-widgets.css?ver=69491331975	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/edubin-core/assets/css/edubin-widgets2779.css	(from https://swiftedutravels.com/)
16:12:22	2001/2001	---MC-	200	added ('OK')	application/rss+xml	etag:%22893248abe0ff8fba62b4e3d75f306baa%22	https://swiftedutravels.com/feed/	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/feed/index.html	(from https://swiftedutravels.com/)
16:12:22	1647/1647	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jun%202022%2015:17:28%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/picker.classic.css?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/picker.classic09fa.css	(from https://swiftedutravels.com/)
16:12:22	4370/4370	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jun%202022%2015:17:28%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/picker.classic.date.css?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/picker.classic.date09fa.css	(from https://swiftedutravels.com/)
16:12:24	20761/20761	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jun%202022%2015:17:28%20GMT	https://swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/intlTelInput.css?ver=20.9	C:/My%20Web%20Sites/swiftedutravels/swiftedutravels.com/wp-content/plugins/bookly-responsive-appointment-booking-tool/frontend/resources/css/intlTelInput09fa.css	(from https://swiftedutravels.com/)
